Node Number,"T (7am, No carpool)","T (7am, With carpool)","T (9am, No carpool)","T (9am, With carpool)","T (11am, No carpool)","T (11am, With carpool)","T (Distributed, No carpool)","T (Distributed, With carpool)"
59,208.261,208.286,318.995,289.378,206.644,207.132,250.655,245.186
60,207.745,207.778,317.602,288.141,205.877,206.454,249.556,244.319
61,204.7,204.827,307.384,277.876,199.963,201.383,241.385,237.363
62,201.97,202.198,298.553,269.59,193.917,196.215,237.634,232.91
63,196.844,197.151,291.037,262.171,187.386,189.946,231.771,226.457
64,192.435,192.846,284.031,255.193,180.435,183.47,224.824,219.942
65,189.882,190.353,279.855,251.153,176.41,179.72,220.803,216.171
66,187.192,187.768,269.203,240.509,166.3326,171.991,210.933,209.807
67,207.562,207.528,322.832,293.087,207.643,207.53,253.887,246.866
68,203.407,203.43,312.916,283.743,202.025,202.482,245.734,240.41
69,202.85,202.88,311.586,282.491,201.272,201.805,244.641,239.545
70,200.721,200.869,301.675,272.301,195.668,197.228,235.854,232.026
71,193.568,193.919,285.888,257.63,183.337,186.416,227.236,221.923
72,187.189,187.727,273.892,245.393,171.233,176.024,215.515,211.635
73,185.444,186.063,268.449,239.853,165.6851,170.9277,210.133,207.689
74,183.837,184.529,263.434,234.75,160.5739,166.2329,205.1743,204.052
75,201.534,201.5,314.812,286.384,201.614,201.502,247.826,240.837
76,195.631,195.649,303.449,274.471,195.025,195.276,238.899,233.743
77,197.268,197.434,295.541,267.312,192.073,193.69,233.604,228.953
78,190.674,191.06,281.02,253.337,181.227,183.915,222.95,217.638
79,189.258,189.687,278.086,250.402,179.113,181.977,220.017,214.749
80,183.59,184.195,268.034,240.765,170.65,174.225,211.109,206.679
81,179.194,180.011,257.304,231.132,164.0714,168.1274,203.0199,200.2781
82,195.553,195.52,307.631,279.926,195.632,195.521,241.821,234.854
83,191.81,191.824,298.223,270.521,191.654,191.727,235.716,230.748
84,194.605,194.616,297.012,273.253,194.596,194.613,238.674,233.813
85,191.428,191.44,293.607,269.941,191.417,191.436,235.444,230.633
86,188.829,188.841,290.995,267.321,188.818,188.837,232.828,228.034
